source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates
Chapter 12 (Kids Version),Peppermint King,peppermint-king,,Individual,published,"Position: Ruler Of Candy Village

Ruler of Candy Village, he is nearly 101 years old and has seven children living throughout the village. He is a jolly man with a factory raised high above the city. He often fights his brother the Sourpatch King for the thrown of the city with the help of the racers found throughout the Candy Lane Racing tournament.",Kids,Kids,,Candy Village,Sourpatch King; Crystal Vanillashake
Chapter 12 (Kids Version),Sourpatch King,sourpatch-king,,Individual,published,"Position: Ruler Of Dark Licorice Forest

Brother to the Peppermint King, since his exile nearly a century ago by his parents, he has been on a vengeance to overthrow the Candy Village Kingdom. He often steals his nieces and nephews in an attempt to receive the thrown however his plans are always thwarted by the racers of the Candy Lane Tournament.",Kids,Kids,,Dark Licorice Forest,
Chapter 12 (Kids Version),Crystal Vanillashake,crystal-vanillashake,,Individual,published,"Position: Princess Of Candy Village

Daughter to the Peppermint King, she is set to become the new ruler when her father steps down. Although she is not a fan of her father and uncle’s feud. She supports her father because she knows he’s a good king. She lives in a crystal type house with many features including a giant garden of which racers uses as a racing court during the tournament.",Kids,Kids,,Crystal House,Peppermint King; Sourpatch King; Ron Coffeecake; Don Coffecake; Linda Lataffy
Chapter 12 (Kids Version),Honey Bear Children,honey-bear-children,,Individual,published,A vast group of honey bears who live within the Candy Kane Forest. They are jolly creatures and always found smiling and dancing. They are the neighbors to the Sugarstorm Twins.,Kids,Kids,,Candy Kane Forest,Sugarstorm Twins
Chapter 12 (Kids Version),Sugarstorm Twins,sugarstorm-twins,,Individual,published,"Position: Explorers

Collectors of old world items, they travel throughout the world collecting prize possessions and storing them. They are often considered the Candy Village’s explorers. They are appointed by Peppermint King to assist in finding priceless artifacts from the city’s ancient history.",Kids,Kids,,Candy Kane Village,Peppermint King; Honey Bear Children
Chapter 12 (Kids Version),Gloria Sugarstorm,gloria-sugarstorm,,Individual,published,,Kids,Kids,,,
Chapter 12 (Kids Version),Glenn Sugarstorm,glenn-sugarstorm,,Individual,published,,Kids,Kids,,,
Chapter 12 (Kids Version),Racer Red,racer-red,,Individual,published,"Position: Retired Candy Lane Racer

Dominant champion of the Candy Lane Races, he won nearly 100 years ago and serves now as the greatest racer of all times. Although many other racers won since then he won each lap and gained numerous points and rewards. He is of the Big Red family and loves spicy foods. Besides racing he loves to eat, often seeing eating really fast.",Kids,Kids,,Candy Village,Candy Lane Racers; Big Red Family
Chapter 12 (Kids Version),Big Red Family,big-red-family,,Individual,published,"Position: Various

A group of fast talking people with red skin. Moving in fast motion often make others who are in their presence sick. Because of their enhance speed, they have been known everything from good racers, noble men and women, to thieves. Some say that they are descendants of the first Candy Lane Racer.",Kids,Kids,,Candy Lane Village,Candy Lane Racers
Chapter 12 (Kids Version),Mother Red,mother-red,,Individual,published,"Stay at home mother, she is strong willed and very fast around the house.",Kids,Kids,,,
Chapter 12 (Kids Version),Papa Red,papa-red,,Individual,published,"Homemaker, he is very fast and talks in riddles. He is father to Racer Red and considered the original Racer Red although this isn’t yet revealed.",Kids,Kids,,,
Chapter 12 (Kids Version),Sister Red,sister-red,,Individual,published,"With long red locks. She is fast and beautiful. She loves fashion and everything is showcases. She is the owner of the town’s major shopping spot, Red’s Boutique.",Kids,Kids,,,
Chapter 12 (Kids Version),Brother Red,brother-red,,Individual,published,Envious of his younger brother’s attention. He often tries to out do Racer Red at everything. Even going as far as sabotaging races that he is in. Although he loses. His pet cat is Red Kat.,Kids,Kids,,,
Chapter 12 (Kids Version),Grandpa Red,grandpa-red,,Individual,published,Father to Mother Red. He is strong willed like his daughter. His long beard is the family’s signature red. His parents were war veterans who often raced for money.,Kids,Kids,,,
Chapter 12 (Kids Version),Grandmother Pink,grandmother-pink,,Individual,published,"Papa Red’s mother, she is believed to be over 200 years old. She adores Grandpa Red with many believing that they are married. She owns a pink convertible with Big Red Gum serving as most of the vehicle.",Kids,Kids,,,
Chapter 12 (Kids Version),Cousin Magenta,cousin-magenta,,Individual,published,Cool talking cousin to the Big Red Family. His past and birthplace is unknown. But it is believed that he arrived in Candy Village in search of something.,Kids,Kids,,,
Chapter 12 (Kids Version),Baby Red,baby-red,,Individual,published,The youngest of the family. Faster than the other members including Racer Red. Many wonder if he will be the next Racer Red. For now many are unaware of his special abilities to control the wind.,Kids,Kids,,,
Chapter 12 (Kids Version),First Racer,first-racer,,Individual,published,"Position: Former Racer

Once a great racer, the First Racer whose name is unknown is considered the racing God to many of Candy Land Villagers. He or she always wore a suit and helmet to disguise themselves from the public. Since the tenth ever race, the First Racer never raced again with reasons left unknown. By the time the eleventh race started, the First Racer has left with no sign of return.",Kids,Kids,,Candy Land Village,
Chapter 12 (Kids Version),Red Kat,red-kat,,Individual,published,"Position: Assistant To Brother Red

A smart talking cat and pet to Brother Red. He assists in Brother’s Red plot to defeat his brother Racer Red. Although they are foiled each time. Unbeknownst to almost everyone, Red Kat is a devious mastermind who can speak, come up with scientific equations, and has the power to turn invisible. Among other talents including his talent of cooking and creating weapons for Brother Red’s vehicle. Also at times he participates in racing whenever Brother Red is absent. His cover has never been blown, although the Coffeecake brothers suspect his behavior.",Kids,Kids,,Candy Village,Brother Red
Chapter 12 (Kids Version),Don Coffeecake,don-coffeecake,,Individual,published,"Position: Chef

A fellow chef, he is plump and wears an outfit similar to a chef attire. He is in love with Crystal Vannillashake and races for her affection. Although smarter than his younger brother Ron, he loses against his brother at almost everything. He is an excellent racer and chef and loves to challenge others regardless of their stance or title. He plays the iconic hero role because of his desire for justice.",Kids,Kids,,Candy Village,Ron Coffeecake; Crystal Vanillashake
Chapter 12 (Kids Version),Ron Coffeecake,ron-coffeecake,,Individual,published,"Position: Chef

A jolly and happy go lucky person with a big sense of humor often seen laughing at random things and moments. He is younger than his brother although taller and better at almost everything than his brother. He also is an excellent racer while also being a good chef.",Kids,Kids,,Candy Village,Don Coffeecake
Chapter 12 (Kids Version),Linda Lataffy,linda-lataffy,,Individual,published,"Position: Student At Candyhill High

Sister to Tiffany LaTaffy. She is nice unlike her sister and is a straight A student. She has long green hair and has a liking toward Ron Coffeecake.",Kids,Kids,,Candy Village,Tiffay Lataffy; Ron Coffeecake
Chapter 12 (Kids Version),Tiffany Lataffy,tiffany-lataffy,,Individual,published,"Position: Cheerleader At Candyhill High

Cheerleader of Candyhill High, she is stuck up and is the mean girl in school. She hangs out with China Stoneberry and Cookie Cutterhill.",Kids,Kids,,Candy Village,Linda Lataffy; China Stoneberry; Cookie Cutterhill
Chapter 12 (Kids Version),China Stoneberry,china-stoneberry,,Individual,published,"Position: Mean Girl At Candyhill High

One of the mean girls in school, unknown by many, she is a skilled baker and loves to cook. She has a thing for Racer Red, she has all of his memorabilia.",Kids,Kids,,Candy Village,Tiffany Lataffy; Cookie Cutterhill
Chapter 12 (Kids Version),Cookie Cutterhill,cookie-cutterhill,,Individual,published,"Position: Mean Girl At Candyhill High

She is one of the mean girls in school, she is very smart and loves to dance and sing which she showcases on many occasions. She also has a passion for racing of which she does and even goes as far as competing against Tiffany LaTaffy.",Kids,Kids,,Candy Village,Tiffany Lataffy; China Stoneberry
Chapter 12 (Kids Version),Van Vanillashake,van-vanillashake,,Individual,published,"Position: Wealthy Businessman

Ex-husband to Crystal Vanillashake, the two broke up because of Van’s love of racing of which he does whenever he gets the opportunity to. He has said that nothing matters more than racing, often infuriating Crystal.",Kids,Kids,,Candy Village,Crystal Vanillashake
Chapter 12 (Kids Version),ICY McICECREAM,icy-mcicecream,,Individual,published,"Position: Wealthy Businesswoman

A cold and chilly tempered woman living in a house made of freezer burned ice cream and harden ice cream cones. She owns the town banks and is a very wealthy woman.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Goodie Goodbar,goodie-goodbar,,Individual,published,"Position: Town’S Mechanic

The towns mechanic, he owns a mechanic shop and is always seen working on cars including the ones used by racers. He is the one who installs the props in racer cars.",Kids,Kids,,The Goodbar Mechanics,Candy Lane Racers
Chapter 12 (Kids Version),Chip Chocolatechip,chip-chocolatechip,,Individual,published,"Position: Inventor

Overly confident inventor, he is a teenager who is always talking and always chipper. His ancestors were great inventors and help build the Chocolate Factory. So he tries to live up to their repetition however most of his inventions backfire.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Giggly Gumdrop,giggly-gumdrop,,Individual,published,"Position: Racer, Student At Candyville Middle School

A valiant racer, always happy and full of energy. She is the youngest racer and has since been its price champion. She is covered in different candy products and smells like gumdrops. She lives in a house made completely out of lollipops and bubblegum.",Kids,Kids,,Candy Village,Candy Lane Racers
Chapter 12 (Kids Version),Bebe Bubblegum,bebe-bubblegum,,Individual,published,"Position: Racer

A firecracker, BeBe is blue haired and a great racer, she speaks her mind and is always seen blowing bubbles.",Kids,Kids,,Candy Village,Candy Lane Racers
Chapter 12 (Kids Version),Kemberlie Kool-Aid,kemberlie-kool-aid,,Individual,published,"Position: Pro Surfer

A laid back surfer girl with little care about anything but lounging and drinking Kool-Aid products. Her favorite past time other than laying back and relaxing is surfing which she always wins the surfing contests.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Brian Butterscotch,brian-butterscotch,,Individual,published,"Position: Sports Player

Local sports hero, loved by all the females, hated by most of the men, adored by his fans and followers. He is a price possession of the Candy Village however loses every Candy Lane race to Racer Red much to his disgust.",Kids,Kids,,Candy Village,Candy Lane Racers
Chapter 12 (Kids Version),Jimmy Jawbreaker,jimmy-jawbreaker,,Individual,published,"Position: Pro Boxer

A proud man known for his fast talking ways, he is thin with a large jawbreaker for a head. He is also a professional boxer. Appearing in many of the town’s various sport matches against various opponents. He owns a race car although he never raced and has no desire to. With others wondering its purpose for him. It is revealed that there is a secret behind the car.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Candice Caramel,candice-caramel,,Individual,published,"Position: Writer For The Candy Village Newspaper

A writer for the Candy Village Newspaper, she knows the latest on the latest found throughout the city. She is often the gossip queen of the city.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Gummybear Click,gummybear-click,,Individual,published,"Position: City’S Gang

A group of racers who are also the city’s gang. Although they appear lovable and jolly they are also bad news. They are minions of the Sugarpatch King.",Kids,Kids,,Dark Licorice Forest; Candy Village,Sourpatch King
Chapter 12 (Kids Version),Cindy Cinnamon,cindy-cinnamon,,Individual,published,"Position: Singer

A beautiful singer who catches the ears of anyone who turns on the radio. She is a pop singer and the city’s music idol.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Bingo Butterman,bingo-butterman,,Individual,published,"Position: City’S Artist

A quick thinking artist who uses his buttery skin to draw beautiful works of art. He is the city’s artist.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Stevie Shortcake,stevie-shortcake,,Individual,published,"Position: Town’S Hero

Appearing similar to a strawberry shortcake, he is a nice young man with a fighting attitude. He is the hero type and has since played such a part in his home town Candystone Shortcake.",Kids,Kids,,Candy Shortcake,
Chapter 12 (Kids Version),Glinda Gummyworm,glinda-gummyworm,,Individual,published,"Position: Teacher At Candyville Middle School

She is a glowing gummyworm who serves as a teacher at Candyville Middle School. She is often the voice of reason for Giggly Gumdrop.",Kids,Kids,,Candy Village,Giggly Gumdrop
Chapter 12 (Kids Version),Lance Licorice,lance-licorice,,Individual,published,"Position: Student At Candy Village High

Snobby short teenager with licorice skin. With most of the town’s money in his family’s vault. His family is the wealthiest in the world. He attends CANDY HILL HIGHand is dislike by almost everyone including the teachers because of his attitude. Although he doesn’t notice and just assumes everyone likes him.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Princess Candyshack,princess-candyshack,,Individual,published,"Position: Princess Of Candystone Shortcake

Princess of a nearby village known as Candystone Shortcake. She has long flowing pink hair and pale skin. Her skin feels like butter and she smells like milk. Her dress and entire outfit is a collection of cakes. She carries a purse and wand which can omit magical properties. She is the love interest to Stevie Shortcake.",Kids,Kids,,Candystone Shortcake,Stevie Shortcake
Chapter 12 (Kids Version),Mother Goodwill,mother-goodwill,,Individual,published,"Position: Town’S Advisor & Physic

The town’s elder advisor and physic. She has an office covered in golden gumdrops and hard nuts. Although she is very polite, it has been shown that she is very dangerous and possibly a witch in disguise.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Snickrom,snickrom,,Individual,published,"Position: Town’S Former Ruler
Note: GOD OF CANDY VILLAGE

Often considered the God that resides over Candy Village. Although there are no confirmation of this story. It is said that he is as old as the world and has only been seen long enough for someone to witness his great power. After he stepped down as ruler over Candy Village, he disappeared. Now he only appears during great conflict.",Kids,Kids,,,
Chapter 12 (Kids Version),Binny Blueberry,binny-blueberry,,Individual,published,"Position: Student At Candyville Middle School

A young professional sports player. He attends school with Giggly Gumdrop and Ruby Redberry. At times he and Ruby go on scavenges to unlock secrets of the town.",Kids,Kids,,Candy Village,Ruby Redberry
Chapter 12 (Kids Version),Ruby Redberry,ruby-redberry,,Individual,published,"Position: Student At Candyville Middle School

An inspiring detective. She takes after her father Royce Redberry who is the town’s detective. His mother disappeared when she was young which caused her to go into her father’s field. Although she is very young and attends middle school with Binny Blueberry and Giggly Gumdrop. It doesn’t stop her from adventuring around town to unlock secrets.",Kids,Kids,,Candy Village,Binny Blueberry
Chapter 12 (Kids Version),Royce Redberry,royce-redberry,,Individual,published,"Position: Town’S Detective

The town’s detective that went into the business to find his missing wife. He believes that there is a dark secret within in the town. He will do anything to unlock this secret.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),McDee MOONPIE,mcdee-moonpie,,Individual,published,"Position: Town’S Sheriff

The town’s sheriff and sworn enemy to Royce Redberry.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Gary Greenapple,gary-greenapple,,Individual,published,"Position: Town’S Doctor

The town’s doctor, his pale blueskin and smell of sour lemons. Causes him to be turned away by most. That is until they realize that he is the most skilled doctor in town.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Royetta Redberry,royetta-redberry,,Individual,published,"Wife to Royce Redberry and mother to Ruby Redberry. She went missing during the great Candydrop storm which nearly destroyed the town. Believed to be alive, her husband will do anything to find her. She is the often reason behind quest during the Detective Race Games.",Kids,Kids,,Candy Village,Royce Redberry; Ruby Redberry
Chapter 12 (Kids Version),Honest Honeycomb,honest-honeycomb,,Individual,published,"Position: Reporter At Candy Rain Tv

Reporter of Candy Rain TV News, she is as her name applies very honest and will do anything to find a good story.",Kids,Kids,,Candy Village,Cameraman Cookie
Chapter 12 (Kids Version),Charles Chocolatesnap,charles-chocolatesnap,,Individual,published,"Position: Student At Candydrop College, Swimmer

A teenager that attends Candydrop College. He has short gold hair with white streaks. He talks in a surfer slang and is a ladies man. With a passion for swimming. He is the self-appointed town’s greatest swimmer.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Cameraman Cookie,cameraman-cookie,,Individual,published,"Position: Cameraman At Candy Rain Tv

He is a walking cookie wearing a hat and always with his camera. Shooting everything he sees, he often annoys people because of his constant shooting of them. He is bullied and pushed around by Honest although he likes it as he likes her.",Kids,Kids,,Candy Village,Honest Honeycomb
Chapter 12 (Kids Version),Cocoa Butterton,cocoa-butterton,,Individual,published,"Position: Student At Candydrop College

A fashionable diva who loves clothing, shopping, and boys. Whether it’s in that exact order is up for interpretation. She attends Candydrop College.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),The Gummybear Citizens,the-gummybear-citizens,,Individual,published,"Position: Town’S People

Citizens of Candy Village, they come in different shapes, sizes, and colors and ranges in the millions.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Gingerbread Workers,gingerbread-workers,,Individual,published,"Position: Chocolate Factory

A group of workers with different shapes and sizes working at the Chocolate Factory. They sing and are choreograph dancers as well and happily serve the Peppermint King.",Kids,Kids,,Candy Village,Peppermint King
Chapter 12 (Kids Version),Gramcracker Citizens,gramcracker-citizens,,Individual,published,"Position: Various

Similar in appearance to the Gingerbread Workers, these citizens are proud Upper Class members of Candy Village. They live near the Chocolate Factory.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Marshmallow Man,marshmallow-man,,Individual,published,"Position: Owner Of Factories

A giant that lives at the edge of Marshmallow Post. He owns a range of factories and makes cars for racers of the Candy Lane Races. His children are known as the Smore Kids.",Kids,Kids,,Candy Village,Smore Kids
Chapter 12 (Kids Version),Ms. Choco Chocolate,ms-choco-chocolate,,Individual,published,"Position: Mother To The Smore Kids

Mother of the Smore Kids, she is sweet and fun loving and wife to the Marshmallow Man. She is a dancer and often teaches the citizens of Candy Village various dances.",Kids,Kids,,Candy Village,Smore Kids; Marshmallow Man
Chapter 12 (Kids Version),Smore Kids,smore-kids,,Individual,published,"Position: Children To Ms. Choco Chocolate & Marshmallow Man

Playful and sometimes spiteful children who are part marshmallow and part chocolate and resembles gummybears. They range in height and weight and are always seen in the form of threes.",Kids,Kids,,Candy Village,Marshmallow Man; Ms. Choco Chocolate
Chapter 12 (Kids Version),Chocolate People,chocolate-people,,Individual,published,"Position: Various Workers At Marshmallow Man’S Factories

Made completely of chocolate, these group of citizens live on Marshmallow Post and range in various sizes including Dark Chocolate, Caramel, Swiss Cocoa, and Regular Chocolate.",Kids,Kids,,Marshmallow Post,Marshmallow Man
Chapter 12 (Kids Version),Vanilla People,vanilla-people,,Individual,published,"Position: Council Of Order For Candy Village

Made completely of vanilla, these group of citizens live on Marshmallow Post, they are creamy filled and are stuck up to those around them. They believe in politics and serve as the Council of Order for Candy Village.",Kids,Kids,,Marshmallow Post,Chocolate People; Candy Village
Chapter 12 (Kids Version),Marshmellows,marshmellows,,Individual,published,"Position: Various

Are people made completely of Marshmallows, they range in sizes and are always jolly and very resourceful. Like the Vanilla & Chocolate People, they are giants and live on Marshmallow Post surrounding Candy Village.",Kids,Kids,,Marshmallow Post,
Chapter 12 (Kids Version),Justin Jellybean,justin-jellybean,,Individual,published,"Position: Town’S Author

The town’s author, his books has been read by almost all of Candy Village’s residents. He often writes for various newspapers and has a slight crush on Candice Caramel. Although he dislikes her constant gossiping.",Kids,Kids,,Candy Village,Candice Caramel
Chapter 12 (Kids Version),Wendy Werther,wendy-werther,,Individual,published,"Position: Student At Candydrop College

Appearing similar to the famous Werther’s original. Her orange body is sticky and she is round. Jolly and usually seen laughing. She attends Candydrop College and has a crush on Charles Chocolatesnap",Kids,Kids,,Candy Village,Charles Chocolatesnap
Chapter 12 (Kids Version),Nick & L Ni,nick-l-ni,,Individual,published,Two children who are believe to be ghost of the town. Resembling walking versions of the candy Nik L Nips. They are mischievous children who disappears as quickly as they appear.,Kids,Kids,,,
Chapter 12 (Kids Version),Cindy Peanut,cindy-peanut,,Individual,published,"Position: Ringleader Of A Circus

Resembling a walking circus peanut, she is the ringleader of a traveling Circus of candies who visits Candy Village each year.",Kids,Kids,,Traveling Circus,
Chapter 12 (Kids Version),Sharon Sugardaddy,sharon-sugardaddy,,Individual,published,"Position: Owner Of A Popular Restaurant

The town’s chef, she has her own restaurant which serves as a popular destinations for students of CANDY HILL HIGHand Candydrop College.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Popper Rockstone,popper-rockstone,,Individual,published,"Self-acclaim rockstar, with his great singing voice. He could be one however his constant over the top personality stops him.",Kids,Kids,,Candy Village,
Chapter 12 (Kids Version),Perez Pez,perez-pez,,Individual,published,"Position: Student At Candyville Middle School

Student at Candyville Middle School, he wears shorts and a different funny t-shirt each day. Shaped like the Pez candy. He is a jokester and bestfriend to Giggly Gumdrop.",Kids,Kids,,Candy Village,Giggly Gumdrop
Chapter 12 (Kids Version),Nico Neccowafer,nico-neccowafer,,Individual,published,"Position: Town’S Pharmacist

Tall resident to Candy Village, he is the town’s pharmacist and close friend to the town’s doctor, Gary Greenapple.",Kids,Kids,,Candy Village,Gary Greenapple
