source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates,age,abilities
Eliteverse-Heroes-Villains-A-G,Elite Force,elite-force,,Team,published,"The Elite Force is one of the most prominent teams throughout the Eliteverse. The team consists of numerous individuals who has their own separate stories. Each member at times lives at Anura under the leadership of the headmistress, Celestria.",Main Universe,Teams,,,,,
Eliteverse-Heroes-Villains-A-G,Zane,zane,The Prisoner,Individual,published,"Zane is one of the most powerful beings, born over 3,000 years ago to Raphael and a Demon. He has since been a demon serving in the army of Chaos and an angel serving under the army of Elite Force. Now he is one of the oldest members of the Elite Force and has since been their leader. It is known that after he helped a little girl escape a raid by his army he knew of the goodness in humans and shortly after became their savior. Now he helps the other members of Elite Force protect mankind from demons and evil powered Descendants.",Main Universe,Heroes,,,Elite Force; Army of Chaos; The Immortals,3000,Immortality; Telekinesis; Telepathy; Control over the weather; Teleportation; Invincibility; Flight
Eliteverse-Heroes-Villains-A-G,Samantha Cue,samantha-cue,Oracle,Individual,published,"During her internship at MIT, Samantha discovered she could see into the future and foresaw the battle of Angels and Demons. She was later joined by Zane in hopes to stop this from happening and to bring peace to Earth. During her teen years, Samantha’s parents died in a car crash while visiting family in NYC, since then Samantha has been in several foster homes and eventually on her own. She worked at numerous jobs to pay for her way through college, she met Brian while attending MIT and the two joined SAA to help develop their abilities. Because of her abilities, Samantha knew that she had to learn to defend herself so she learned martial arts and has been training in the combat zone at SAA. In the year 2074, Samantha as The Oracle is one of the most sought out beings and a member of Elite Force team of psychics named The Mentals.",Main Universe,Heroes,,,Elite Force; The Mentals,20,Premonition; One Touch Knowledge
Eliteverse-Heroes-Villains-A-G,Samuel Owens,samuel-owens,Angel of Light,Individual,published,"While away at school, Samuel returns home to find out his family has been captured by the Army of Chaos and wants his abilities for their own. Once joining Elite Force, Samuel’s new goal is to stop the army and rescue his family. In this year 2017, Samuel joins the Enlighten Ones in hopes to bring peace to Heaven and restore balance. Their main enemies are the Underworlders.",Main Universe,Heroes,,,Elite Force; Enlighten Ones,24,Light Manipulation; Flight
Eliteverse-Heroes-Villains-A-G,Seile Borbruen,seile-borbruen,Metamorfo,Individual,published,"Seile was born to a mutant mother and a human father who believe that keeping their daughter from the mutant world was the best. While traveling through the Amazon, Seile first learn of her abilities to shapeshift and used it to discover the Tomb of Alfeus. Once the discovery had been made, Seile unlock the blackest magic in history and begun the war between Angels and Demons. Since then she had joined Elite Force in hopes to bring justice. In the year 2020, Seile joins forces with the Doppelganger, the two married and gave birth to Lela (a powerful high level mutant that one day will lead the army of the Angels against the Demons)",Main Universe,Heroes,,,Elite Force; Doppelganger,22,Shapeshifting; Enhance flexibility; Agility; Longevity
Eliteverse-Heroes-Villains-A-G,Alexa Duncan,alexa-duncan,Demeter & Mother Nature (in alternative universe),Individual,published,"Alexa is twin sister of Alex (also known as Sun Man), she haves power over nature and uses her ability to mend her flower shop in Queens, New York. During their youth, Alexa and Alex used their abilities to help their mother put on shows and compete in contest. Their rewards would help pay bills and keep their family fed, however once their mother died of an illness, Alexa and Alex separated and Alex went to school to become a Herbologist while her brother a historian. Alexa joined the ranks of the Elementals of which she later would leave to join Elite Force.",Main Universe,Heroes,,,The Elementals; Elite Force,24,Power over Nature; Limited power over the ground; Limited Telepathy
Eliteverse-Heroes-Villains-A-G,Max Thisend,max-thisend,Tempus or simply Time God,Individual,published,"Max was one of the smartest students in his class, he used his abilities to control time to learn more about the information he classes contain. While attending high school his secret was discovered and he was shipped off to SAA to enhance his abilities. Because of his high level abilities, Max would help Elite Force on and off however his status as one of them isn’t really known.",Main Universe,Heroes,,,Elite Force,19,Time Manipulation; Molecule Regeneration
Eliteverse-Heroes-Villains-A-G,Jane Fawlkner,jane-fawlkner,Robotika,Individual,published,"During the war of machines in the year 3105, Jane was mother of three and wife of a powerful governor who didn’t know of her abilities until one day the war of machines caused her abilities to show them and since then she became a fighter to save the world and her family. Jane controls all technology and can transform her body into massive amounts of technology. Jane travelled back in time to the age of Elite Force in order to gain enough knowledge and power to defeat the Cerebral Androids.",Main Universe,Heroes,,,Elite Force; Freedom Fighters,33,Technokinesis
Eliteverse-Heroes-Villains-A-G,Celestia Barns,celestia-barns,Headmistress Celestia,Individual,published,"Headmistress Celestia Barns was one of the original super-powered humans that fought in the great war of gods, angels, & demons. Her parents were angels with great strength and speed and some say she contain similar abilities. Mostly seen has been her kindness to others with little demeanor toward hatred or anger. Her abilities range from control over minds, telekinesis, power drainage, & immortality. However she contains an extensive list of abilities, she has since her arrival to SAA only shown minor mirror of her true abilities. Celestia became headmistress after the original facility disappears during the raid of 1641 and has since been one of the most prominent figures in Elite Comics history.",Main Universe,Heroes,,,The Immortals; SAA (School of Angels; Descendants); Elite Force,1000,Immortality; Telekinesis; Telepathy; Absorbing
Eliteverse-Heroes-Villains-A-G,Brian Kyle,brian-kyle,Gadget,Individual,published,"Brian Kyle was one of the smartest people in his school, graduating high school at 15 and college at 18. Brian was called Gadget by 20 years old because of his ability to fix anything and his passion for technology. He was admitted into MIT by 21 and graduated top of his class by 23 a record for any student in the school’s history. His abilities allow him to create technology out of almost any substance and fix it at will with little to no prior knowledge of the device. His abilities are called Technopathy and from it, he can also produce weapons and computers out of his body parts. At one point he created giant beasts to travel with and fight with while in Aurelia while his fellow Elite Force members lost their abilities. His honors admitted him to SAA where he begun assisting Elite Force and served as assistant to Celestia “headmistress”",Main Universe,Heroes,,,SAA and Elite Force; Elite Force,25,High Intelligence; Technopathy
