source,name,slug,status,description,characters
Chapter 7 (Weapons),Seals,seals,published,"Used to capture Aurelian creatures into a somewhat sleep state. Inside lies a dimension of which is known as the Dreomede (read Landforms of Aurelia). To use the Seals, one must have some magical abilities and extensive energy levels as the Seals are created through magical energy found inside of someone’s soul. On the face of the Seals are the creatures that were captured.",
Chapter 7 (Weapons),Land Reader,land-reader,published,"Similar to a GPS, this device was mostly given to Guardians & Destroyers by their Guides. However some Battlers possess them too from Labs who hand out Battlers’ starter kits.",
Chapter 7 (Weapons),Dream Pendants,dream-pendants,published,"Powerful ancient talismans used to travel back and forth between reality and dreamland. These devices are often used by those who are awake that needs to travel to Dreamland, however are forbidden to be used to interact with anything inside the Dreamlands. To prevent this, these devices were destroyed however a few remain and are still in use.",
Chapter 7 (Weapons),Evolution Rings,evolution-rings,published,"Devices used to evolve creatures to the next level, some devices if used correctly can even prevent creatures from evolving. The rings appears while held as rings that can be worn around the finger however once activated they disappear to reappear around the creature of which it is being used upon.",
Chapter 7 (Weapons),Merge Charge,merge-charge,published,Powerful device used to merge the mind and bodies of the user and their creatures. Often used by Guardians & Destroyers however few Battlers have mastered the use of this device.,
Chapter 7 (Weapons),Soul Reader,soul-reader,published,"The main device of the comics besides the Seals & Spell Cards, this device takes a snapshot of the creature faced by the user and scans its details often given back details of the creature. In rare cases some creatures or entities aren’t listed and however the device continues to scan the received image in the background filing itself with more knowledge. No one knows when the device was created however many Labs have learned of ways to recreate the device by adding more information to it and changing its design. Two voices exist for the device, a woman’s voice is the main voice however the male voice is used on most devices given in the northern most part of Aurelia.",
Chapter 7 (Weapons),Book of Elite,book-of-elite,published,"All known items throughout Elite Comics comes originally from the Book of Elite, all known magic and power comes from the book and all known life and immortality comes from the book as it is the core of the Ultimate Power’s abilities. The Book itself is larger than the universe and stands aside the Ultimate Power in its own dimension outside of all things and beyond all but the Ultimate Power. It is said that the book itself existed before the Ultimate Power and thus created the force and many others when it got bored of its own existence.Where it comes from is unknown as there was nothing before it as it appeared to have created itself from fraction and darkness of a empty abyss. The book itself has unlimited power and only allows itself to be touched by The Ultimate Power and the Ultimate Evil, it speaks often in the voice of those that appears before it, and from it arose all known things including languages.",
Chapter 7 (Weapons),Arnoxus,arnoxus,published,"Powerful demonic totems that were built to battle the Key of Humanity. The totem was supposedly given to Dylexin during the battle against the Domaedians however it was lost during the war of good and evil. Since then the Arnoxus were broken up into various different pieces, how many is unknown but believed that the pieces would become a whole once completely configured. From a prophet it is told that the totem could grant the user powers to defeat any opponent regardless of how strong.",
Chapter 7 (Weapons),Pearl of Indomnia,pearl-of-indomnia,published,"A ball of energy that was created by powerful spirits during the first plague of mankind. It was created in hopes to revive any being that has once died. The pearl was sent to the heavens for safe keeping but has since been placed in the hands of the Death Master and the Soul King in hopes to revive the dead and control the souls of the underworld. During the Dead Rises Saga, the Pearl returned to the heavens with most of its energy drained.",
Chapter 7 (Weapons),Spell Cards,spell-cards,published,"Similar to Seals except for objects or magical entities like spells, storms, etc. However much easier to use and only reading the name of the card, this item is considered dangerous and is only taught to skilled Battlers, Guardians, & Destroyers.",
Chapter 7 (Weapons),Spell Traps,spell-traps,published,"Often used to capture a creature or even a spell. Powerful circles with encrypted magic used to battle and defeat opposite forces. Created by the original Wizards, these powerful forces are only weakened if the opponent is stronger than the creator of the trap.",
Chapter 7 (Weapons),Transporters,transporters,published,Devices placed around Aurelia to transport residence to another location throughout Aurelia. Two of these devices were altered to transport the users to Earth and other places like the Dark World and even the Underworld. During the brigade many Transporters were destroyed leaving only a handful of them around Aurelia.,
Chapter 7 (Weapons),Heaven’s Stick,heavens-stick,published,"Powerful device that can be used to travel to any place in existence including home of the gods, the dead, heaven, and even Earth. Rarely seen this device was cast to Aurelia in hopes to be guarded after the Plane of Light was raided. This device also is said to provide powers strong enough to defeat any enemy and provides immortality.",
Chapter 7 (Weapons),Stage Creators,stage-creators,published,"More so used by Battlers, this device can project a high tech battle field in the middle of almost anywhere. These devices have been in use since the dawn of creation and very few from ancient times are still intact. Most Stage Creators are placed in a certain location and becomes activated by the user challenging their opponent.",
Chapter 7 (Weapons),Spell Charge,spell-charge,published,Unique device used to offset the power of the original Spell Cards. Ironically enough several Spell Cards often are used for this same feature.,
Chapter 7 (Weapons),Key of Humanity,key-of-humanity,published,"A powerful device that was fordged by Anka in an attempt to defeat his son Belckus “the ultimate evil”. The power of the key was suppose to have defeated the demons in the war amongst the Domaedians, however while it was meant for Michael, Michael was slain and the key was sent to Earth, for the most part forgotten. Its direct counterpart was the Arnoxus.",
Chapter 7 (Weapons),Power Braclets,power-braclets,published,"Weapons used throughout the comics for various reasons, most notably as shields for various attacks. Most notably, the Time Repel Braclets are used and created by Gadget to help defeat a villain name Time Control who wishes to use his abilities to still priceless artifacts from around the world.",
Chapter 7 (Weapons),Dragon Heart Flute,dragon-heart-flute,published,A magical item that can place any being within in hearing range to sleep. The only known way to awaken the sleeping being is by playing the flute’s mystical song backwards. This item has since been given as an artifact to Seth Dragonsworth and since his death; he gave the flute to his school Anura for safe keeping.,
Chapter 7 (Weapons),Cloak of Shadows,cloak-of-shadows,published,An enchanted cloak that can provide the wearer the ability to turn invisible once the hood is placed over their head or cloak is covering them. The cloak was fordged by Volcanos and passed down through the bloodline of Daugus Shade.,
Chapter 7 (Weapons),Sword of the Dragon Tamer,sword-of-the-dragon-tamer,published,"Forged by Volcanos to originally slay dragons, the bloodline of the Dragonworth clan believed that dragons are great allies and turned the sword into ways of controlling them and slowly befriending them.",
Chapter 7 (Weapons),Eye of Dugard,eye-of-dugard,published,"The Eye of Dugard is a magical totem that can see things that nothing else can. It possesses the power to see things that are also invisible, enchanted, lost, in the past, present, & near future. It was handed down from the gods to the bloodline of Regina Eyis.",
Chapter 7 (Weapons),Cyber Rods,cyber-rods,published,"Used by many Legacy Fighters, it is made of technology components & electronic pulses. Mostly used in the New World.",
Chapter 7 (Weapons),Global Riders,global-riders,published,Technology advance motorcycles made up of its rider’s DNA and highly advanced light components. Mostly used in the New World.,
Chapter 7 (Weapons),Cyber Vehicles,cyber-vehicles,published,"Consisting of technology advance vehicles known as Cyber Cycles, Cars, Vans, Trucks, etc which usually hover above the ground using light and anti-gravity pressure. Mostly used in the New World.",
Chapter 7 (Weapons),Chalice of Life,chalice-of-life,published,"A cup like object that if drunken from it, It can offer many properties including immortality, enhanced strength, speed, intelligence, and other abilities. However not all who drank from this chalice would provide these abilities.",
Chapter 7 (Weapons),Chains of Sorrow,chains-of-sorrow,published,"Chains that can stretch as far as the user needs. The chains are cursed with a bindable grip meaning who ever encounters the chains, they can’t escape them. The chains themselves often become attached to the user of choice. However as of now, no one has come in contact with the chains since it fell to Earth after the battle of Domaedians and Belki.",
Chapter 7 (Weapons),Book of Magic,book-of-magic,published,"Handed down through the bloodline of several magic families. This book started with only a few pages containing information about the magical world. However, more information was added across time by numerous families including the Demoys and the Lazarons. It is highly protected by “light magic”. It has since been separated into other books by the respective families that agreed to protect the magic and knowledge within its’ pages. The Book of Sanctuary and Book of Demoy are two books created from its pages.",
Chapter 7 (Weapons),Book of Sanctuary,book-of-sanctuary,published,"One of the most powerful magical totems to have ever existed. It was said to have emerged from the Kenoxes filled with all the magic including spells, creatures, demons, angels, etc that existence has. It is protected by the Lazarons and therefore can’t be held by anyone else but their bloodline unless someone else takes control over the Kenoxes.",
Chapter 7 (Weapons),Book of Dark Magic,book-of-dark-magic,published,Often called a grimoire. It was created by the Overlords to replicate the power of the Book of Sanctuary. It propels all light magic upon touch and has since been the focal point of almost all dark magic users.,
Chapter 7 (Weapons),Elite Jet,elite-jet,published,"Highly advance fighter jet that can move at the speed of sound. It’s exact advances in technology comes from Gadget and has numerous weapons including lazer guns, missiles, force fields, cloaking shields, and field disrupters. Over time Gadget said he added more than 100 different weapons aboard the jet. He named it the Elite Jet after the Elite Force team.",
Chapter 7 (Weapons),Graphium,graphium,published,"Mysterious object that emerged from the dark ages. Its actual use during this time was not obvious but was feared because of its use to put people in a trance, give them false memories, and control them. It belongs to no particular person and thus can be handled by anyone that can withstand its immediate trancing abilities.",
Chapter 7 (Weapons),Mirror of Spirits,mirror-of-spirits,published,The original Mirror of Spirits existed during King Arthur’s time. A powerful magician created it to see into different dimensions and talk with spirits. Along its borders are crest of some of the most powerful spirits ever trapped within the mirror. Over time the mirror became more than a way to look into other planes of existence but became a object to trap others within with no apparent way out.,
Chapter 7 (Weapons),Sword of the Elves,sword-of-the-elves,published,"Used by the highest order of the Elves since their arrival in the magical world. It is used to slay demons, creatures of the dark world, and even some of the most powerful warriors of the time. Its blade is said to have been forged by a god and its handle is endowed with magic.",
Chapter 7 (Weapons),Time Ropers,time-ropers,published,"A giant vessel that hovers above the surface and is powered by time itself. Once belonging to the Time Lords and crafted by the Arcota for their master Shecknurd, the god of time. It was then passed down to the Time Pirates.",
Chapter 7 (Weapons),The Alliance,the-alliance,published,"Story or character: Outer World Alliance

A large ship that was built to be able to travel across vast space. It was constructed in the year 2119 by a much more advance Earth. It has over 300 types of weapons, machinery, and material that has not been seen prior to its appearance. It is capable of warp speed and relying on its fuel through deep space.",Outer World Alliance
Chapter 7 (Weapons),Confederation,confederation,published,"Story or character: Outer World Deep Alliance

A large ship capable of traveling through light. It is fast and can open terminal black holes to transport itself across galaxies at a time. It was built in the year 3009 and as of all current stories, it is the most advance spacecraft ever made.",Outer World Deep Alliance
Chapter 7 (Weapons),Staff of Judgement,staff-of-judgement,published,"Story or character: The Judgement
Race: The Judgement

A powerful staff used by The Judgement to judge others. It has the power to send a soul to Heaven, Hell, the Underworld, or Eternity at will. Also, it can bring someone or something back from the dead without any consequence.",The Judgement; The Judgement
Chapter 7 (Weapons),Book of All Things,book-of-all-things,published,"Story or character: The Neither
Race: the Neither

One of the largest tomes of all existence, the Book of All Things is held by the Neither to record all things in and out of existence. Only a small few has ever read its pages with all of them being specifically appointed by the Neither herself.",The Neither; the Neither
Chapter 7 (Weapons),Book of the Demoy,book-of-the-demoy,published,"Story or character: The Demoys
Race: The Demoys

The family grimoire of the Demoys. Like the Book of Sanctuary, it has power pulled from the family line of the Demoys. It has a sigil on its front that protects it from foes of any kind. As of this writing, it has over 500 pages.",The Demoys; The Demoys
