source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates,options
Chapter 13 (Monsters),Dr. Emilia Aresta,dr-emilia-aresta,,Individual,published,Partner: Suppatti → Ogguny,Main Universe,Aurelian Characters,,,Suppatti; Ogguny,
Chapter 13 (Monsters),Kendra Lucutti,kendra-lucutti,,Individual,published,Partner: Pluruppa → Seeda → Rose Fairy,Main Universe,Aurelian Characters,,,Pluruppa; Seeda; Rose Fairy,
Chapter 13 (Monsters),Debren,debren,,Individual,published,,Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),Gia,gia,,Individual,published,,Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),Eternal General Ralphiel,eternal-general-ralphiel,,Individual,published,He joins the Protectors as their chapter 2 guide often using books and technology to substitute for his lack of magical abilities.,Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),Benjy Stone,benjy-stone,,Individual,published,"His ancestors were the original founders of the 25 Oracle Stones and their knowledge were passed down to him, although he lacks their magical abilities, he uses his knowledge of history to assist the Protectors throughout Chapters 1 & 2.",Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),Jessie Pronen,jessie-pronen,,Individual,published,"During the beginning of the comics, Jessie was really Serjes in disguise sent to watch over Rizer and befriend him in hopes it would help protect him from danger. In the Manga, Jessie is an actual boy who befriends Rizer throughout Elementary school to high school. At the end of the manga, Jessie reveals his magical abilities and assists Rizer on some stand-alone missions against creatures of Aurelia.",Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),Kenzie Adams,kenzie-adams,,Individual,published,"A little girl who is afraid of the dark forces so much that she has nightmares about them and draws them to perfection. Although she doesn’t show obvious magical talent, it is reveal that her visions might be similar to that of premonitions. She befriends Zara Collins as the two share similar abilities.",Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),Nikel Rezen,nikel-rezen,,Individual,published,15 year old Nikel has appeared throughout the comics as a member of the Red Gang that terrorizes the students of Rizer’s high school including getting into several fights with Rizer himself. It is later revealed that he is son of a general who’s main goal is to hunt down Aurelians and control them.,Main Universe,Aurelian Characters,,,,
Chapter 13 (Monsters),General Hodges Rezen,general-hodges-rezen,,Individual,published,"Father of Nikel Rezen, he is a general whom in the comics hunts down Aurelians during chapter 3 in hopes to find out more about their world and destroy any plans they may have to take over the Earth. He hates creatures and sends several armies to evade Aurelia through mass portals and doorways created by technology. He is often considered chapter 3 villain however in the manga and later at the end of chapter 3 it is discovered that he is taken his orders from a little boy who appears to be Loki.",Main Universe,Aurelian Characters,,,,
