source,section,text
CreationMyths.docx,,Beings that existed before anything else even the gods. They are omnipotent and omnipresence. Using their seemly unlimited abilities. They beings created the universe of which the gods later ruled.
DreamNightmareGods.docx,,"Creators of dreams and everything that involves it including nightmares. These beings exist only in their own plane. Bound to remain there, if they attempt to leave. They turn to dust. Using the dust from their milky bodies, one could influence the dreams of others but not themselves."
EarthGods.docx,,Deities that directly influence the decision and creation of land based things. Many are the children of Adv and Tur’. Most live on Earth while others in their respective domains hidden from others. Majority of the deities are either human like or beastly.
EternityLifeTimeGods.docx,,Deities and Spirits that influence life and the afterlife. Some are direct connection with the on goings of both like fate and death.
EternityLifeTimeGods.docx,Time Gods,"Children to the god of Time, Shecknurd. Very few beings in history holds the power to influence time and its substances."
FireGods.docx,,Deities associated by Fire and its substances. These deities are destructive and usually showcases anger toward others. With their hatred of the cold and love of little things. They are some of the most hated and feared beings in Elitysian Mythology.
IslandiaMyths.docx,,Surrounding the mythical island of Elitsia were various smaller islands that worshipped their own mythical beings and gods. Some believed that their gods were all powerful and thus created their own creation stories.
IslandiaMyths.docx,Normadia Isle,The Normadia people believed that their deities were ascended humans to some extent. Believing that the hard working would get rewarded by the Ancient Spirits (see above) and become gods. Some believed that the unworthy would be punished by remaining on Earth working for the remainder of their life.
IslandiaMyths.docx,Normadia Isle,Was a great deity who once was a carpenter that built many things. For his reward he was rewarded king over the gods and made a deity through the power of the Carving Staff. An enchanted staff that can make anything he wishes.
IslandiaMyths.docx,Normadia Isle,Was a sad deity who once was a woman cursed to never bare a child. She was given a present one day when she came across an orphan boy. Caring for him as her own child. She gave the boy everything he could ever want in life. Until one day the boy died and Lost became so enrage. Attempting to kill her
IslandiaMyths.docx,Normadia Isle,"A proud scholar of his small town. He was highly regarded as one of the brightest men of Nomodia. Teaching at least every child at least once. He was rewarded a place in the Heavens only if he could teach the Blind, Wicked, Deaf, the Mute, and the Lazy. For 40 days straight he attempted but failed e"
IslandiaMyths.docx,Normadia Isle,"Nautical children to human emotions. They are stubborned children whom were taught various things by History. For his teachings, the children gave him immortality through a joint wish they made on a wishing plant. They themselves in return was later personified as the spirits of their names."
IslandiaMyths.docx,Normadia Isle,"Proud daughter of a tyrant. Unova was blessed by the ancients with treasures, beauty, and love from everyone. So blessed that she was given a chance to kill her tyrant father and take his thrown. As it was a test of which she passed by not killing him. She was given a place in the sky and blessed fu"
IslandiaMyths.docx,Normadia Isle,An owl headed boy that wore a mask as a human. Believed to have been sent to Earth by the ancient spirits. He possesses unique knowledge of random things. If asked the boy would answer the question and then ask a question to the asker. For his knowledge he was given immortality and blessed others wi
IslandiaMyths.docx,Normadia Isle,"Weezing in her life because of a nasal congestion problem. The young girl placed her head over a boiling water pot and her nasal problems went away. Considering her to be magic. The people of Nomadia provided her with her place in the heavens. Her real name was never mention; however, her nickname b"
IslandiaMyths.docx,Normadia Isle,"Twin brother to Denmore, he is tall and handsome. Like his mortal life, he pushes the dead into flames if they were bad in life. While building graves for them to honor their goodness if they were of such. He was a mortician and performed autopsies on those that came to his place of work."
IslandiaMyths.docx,Normadia Isle,Tall and slim formed. Xstrophe adored the flowers of her garden. Believing that their petals flew away to a place high above as present to the spirits. She was graceful and dance in honor of the spirits. She planted numerous gardens around Nomodia for the spirits. For her reward she was given rulers
IslandiaMyths.docx,Normadia Isle,Creator of Hell and the Underworld. He was a minor deity but served such a major task. He built Hell at the wish of the Ultimate Power and made the gates out of the teeth from Belckus. He carved Belckus’ stomach open and layed out his plan for the dark domain inside. He sealed Belckus’ back up and p
IslandiaMyths.docx,Kite Island,"Known as Kitias, the residence of Kite Island believed highly in love and honor. Even their war deities were seen as honorable beings. Because of their good mannerisms and perfection toward honor and love. They became one of the only islands in Elitsyia to not engage in the Island War."
IslandiaMyths.docx,Maye Island,"The Mayes were small people that believed in giants because of their large structures. Because of their small statures, the Mayes were enslaved and used across Elitsyia. To help deal with their predicament. The Mayes created their gods."
IslandiaMyths.docx,Island of the Peons,The Peon People experience so much powerful paranormal activity that people from around the world travels to experience. Because of this most of their deities are based on the supernatural and unlike the other surrounding islands. Their deities are more supernatural then human like.
IslandiaMyths.docx,Island of the Peons,The Peon People believed that before the year comes to an end. That an evil spirit would come through their lands and take away all the love and happiness. This spirit they gave a name Nicolih. He wears a large red coat with large black stones imprinted around his waist. His shaggy beard is white as
IslandiaMyths.docx,The Four Corners,Four separate islands that once sat at the edge of the four corners of Elitsyia. The Elitsyians populated the islands with numerous war related instruments and bases. Populated with people to make the islands seem less threatening over time. After nearly a few years in creation. The people of the is
IslandiaMyths.docx,Chung Island,One of the islands that became influence by Asian culture. Once the Asians moved from nearby Asia to Elitsyia. They were not as welcome as others because of their believed war minded behaviors. Because of this a few group of families moved to one of the farthest islands and named it after the wealth
IslandiaMyths.docx,Chung Island,"Kolli Wang once when a young girl knew her family were killed by tyrants that raided her home, but away for the winter with her friends. Kolli Wang prayed to the gods that she would sell them her soul if her family could return to Earth. The gods returned her family as a pig, lion, frog, and deer an"
IslandiaMyths.docx,Darqua Island,"One of the few islands influenced by animals. Like the Jonir Gods, most of these deities use magic instead of power from the world around them. Unlike the other islands, the Darqua mythologies were drawn from the inspiration of the Elitsyian Myths."
IslandiaMyths.docx,Muonch Pacific Island,The Muonchs believed deeply that they were near the end of times. So much that nearly all of their myths revolved around the end of days. So much that there was no center creation deity.
IslandiaMyths.docx,Whurashia,"Known as the Rashians were travelers from the nearby Asia. With heavy influence, the Asians were navigators and brought with them Spanish influences from their travels hence some of the naming to the deities. The Rashians were proud noble men and women who sat on gold and were some of the wealthiest"
JonirGods.docx,,Within the lands of Tier where magic is very powerful. The magical communities believe that their own gods are stronger than the Elitsyian ones at some level. A lot of their deities inspire many stories and influence other cultures. Most of these deities were worshipped on small islands off the coas
MagicalBeings.docx,Tantirith,"School of magic of all sorts, this school is inspired by both Purnog and Hizirinth as a home for magical beings of all races, the school is found in a direct triangle coordinated from both Tantirith and Hizirinth. The school is protected by a powerful spell and builds onto itself to accommodate its "
MagicalBeings.docx,Tantirith,Trey Thunderstorm- brother to Tony Thunderstorm. They talk in riddles and his goal in life is to create the most powerful storm the world has ever seen. Him and his brother became students of Hizirinth.
MainGods.docx,,"Because of their direct influence to the behavior and lifestyle of mankind, these deities play various important roles. Some are indeed minor while others grant roles that otherwise would be void if they didn’t exist."
MermadicKingdom.docx,,"An underwater world consisted of its own deities, warriors, creatures. Where this place exists have been a mystery for thousands of years. It is said that the beings that roam here can travel through time and different dimensions from within their kingdom. Not even the gods have power here except fo"
Mortals.docx,,"Mortals found throughout the myths of Elitsyia Mythology. Are important in various ways. Rather they be children of gods, magical beings, and/or royalty. Whatever their importance these important figures were written about by the Elitsyians for one reason or another."
MythicalCreatures.docx,,"Just like spirits, some of these creatures influence stories while others are the product of evil brought on by the gods. They exists throughout all of Elitsyain Myths."
RoyalCirca.docx,,"These deities are responsible for most of the makings found within the Elitsyian Mythology. They consist of Creation, Death, Love, War, Knowledge, Fate, the Skies, the Earth, the Seas, and all else in between."
SkyGods.docx,,"Deities that controls or manipulate the skies. Children of the goddess Adv and her many consorts including Lo, the first sky god. Many of them live or roam throughout the vast skies of the heavens. With many taking their place amongst other places."
Spirits.docx,,Numerous spirits and beings similar exist throughout Elitsyian Mythology. Some with important duties others with less than important positions. Some of the most powerful spirits exist through the creation of the gods to influence mankind in either which way. There are even some that exists solely th
Spirits.docx,,"To separate them from their counterparts and each other, the Elitsyians made them look completely different with little to no similarities with each other or being spirits of the Zodiacs. Amon took after the ram and had golden fur, Beth was a bull with one horn and gave birth to the unicorns, Gomain"
Spirits.docx,,Because the Elitsyians existed at the dawn of the Roman and Greek society it is unknown whether or not they copied their names and calendar system or predated the calendar names and dates and the Greeks and Romans copied them.
SunMoonGods.docx,,"Deities associated with the sun in all ways. Like their counterpart the Moon Gods, these beings is responsible for daylight and all things associated with daytime. Ruled by the God, Ohn."
SunMoonGods.docx,Moon Gods,"Like the Sun Gods, the moon gods are responsible for day and night. They take care of the moon and grants it, its various phases while in the night sky. It is said that they live on the moon in a beautiful moon palace."
UnderworldGods.docx,,"Deities of the underworld that are influenced or influence the dead and the afterlife. Children and/or servants to the all-powerful Montum. Because of its vast layout, the underworld at times is broken up and ruled by several deities. However, almost always they serve under Montum as his kingdom ove"
UniversalBeings.docx,,"Beings that filter the universe with good and evil. Like creation gods, these beings existed usually before the gods. Their focus was to ensure the balance of existence remained."
Valkens.docx,,"Large creatures or gods depending on the story that once ruled over the Earth before the gods created man. For creating man, the Valkens raged war against the gods resulting in their imprisonment to the underworld. Because of his courage to lead the war against the gods, Dreggizune is given the titl"
Valkens.docx,,The Valken Holdrum was both home to all giants and creatures of the underworld but also the collection of Valkens that assisted in the battle Mostibik.
WarLoveGods.docx,,"Opposition to Love, these deities value war above all else. Although some do not directly influence the act of war. Their affiliation with it through teachings or other sort of substance has given them the title to be a war deity. They are often serving under Nextis, the primary God of War in Elitsy"
WaterGods.docx,,"Deities associated with water and all of its substances. Water substances such as rain, mist, fog, etc are found in the Sky Gods section (above). These deities are the children to the god Crochen and his many consorts. Some are born from various other deities."
